Greyhound,Plc,Date,Track,Days,Distance,Mgn,Class,Box,In Run,Price,Time,Placing
Blocker Perry,3/8,2025-08-02,Taree,10,300,4.25,M,4,"3,3",$6.00,17.9,"1. Jean's Rum
2. Krypto Rock"
Blocker Perry,5/8,2025-07-23,Taree,N/A,300,7.5,MH,7,"6,5",$10.00,17.6,"1. Inner West
2. Witch Rolex
3. Chad's Girl"
Pouring Rain,2/8,2025-08-20,Taree,4,300,4,M,6,"1,2",$8.50,17.8,"1. Pop's Big Guy
3. Tuncurry Blue"
Pouring Rain,5/8,2025-08-16,Taree,3,300,8.25,M,7,"5,5",$26.00,17.4,"1. On The Whisper
2. Lignite Coal
3. Krypto Rock"
Pouring Rain,7/8,2025-08-13,Taree,4,300,8.75,M,4,"1,3",$14.00,17.9,"1. Boss Confetti
2. Novel
3. Lignite Coal"
Pouring Rain,2/8,2025-08-09,Taree,3,300,1.75,M,3,"2,3",$4.75,17.9,"1. Rocky Bell
3. Fab Prince"
Pouring Rain,4/7,2025-08-06,Taree,N/A,300,7.5,M,8,"5,4",$10.00,17.8,"1. Just Us Boys
2. Black Rolex
3. Boss Confetti"
Buffalina,4/8,2025-08-09,Taree,7,300,2.5,M,2,"3,2",$12.00,17.9,"1. Rocky Bell
2. Pouring Rain
3. Fab Prince"
Buffalina,2/8,2025-08-02,Taree,28,300,4,M,8,"6,2",$20.00,18.1,"1. Cyclone Sebas
3. Impress Bev"
Buffalina,6/8,2025-07-05,Taree,14,300,8.25,M,8,"5,3",$14.00,18,"1. Stratavon Bear
2. Ivy Star
3. Jilliby Scotty"
Buffalina,5/7,2025-06-21,Taree,25,300,8.25,M,2,"6,6",$10.00,17.8,"1. Big Cool Kaos
2. Still Watching
3. Ironbark Boy"
Buffalina,8/8,2025-05-27,Casino,N/A,300,15,M,7,"3,8,8",$15.00,17,"1. Integrity Bet
2. Florella
3. Robell Finn"
My Dinosaur,4/8,2025-07-20,Taree,N/A,300,5.5,M,8,"6,4",$34.00,17.3,"1. Very Savage
2. Novel
3. Ironbark Boy"
Rosa's Raider,6/8,2025-08-20,Rockhampton,7,407,11,M,8,5,$81.00,24.3,"1. Miss Bella Blue
2. Urgent Message
3. Dream House"
Rosa's Raider,5/6,2025-08-13,Rockhampton,14,407,12.5,M,8,4,$31.00,24.6,"1. Regal Wolf
2. Miss Bella Blue
3. Miss Senorita"
Rosa's Raider,5/7,2025-07-30,Rockhampton,7,407,16.75,M,8,4,$51.00,24.1,"1. Nuka
2. Velocity Glimmer
3. Mustang Beach"
Rosa's Raider,8/8,2025-07-23,Rockhampton,N/A,407,23,M,2,6,$5.50,23.8,"1. Velocity Radiate
2. Precursor
3. Boonie's Baby"
Sunburnt Buffalo,4/8,2025-08-20,Rockhampton,10,407,5.25,M,2,4,$6.50,24.3,"1. Miss Bella Blue
2. Urgent Message
3. Dream House"
Sunburnt Buffalo,6/8,2025-08-10,Rockhampton,7,407,18,M,3,7,$5.50,24.2,"1. Zabdon Is Back
2. Bouldy Bullet
3. Boonie's Rose"
Sunburnt Buffalo,3/8,2025-08-03,Rockhampton,7,407,0.75,M,3,2,$11.00,24.5,"1. Boonie's Baby
2. Emergency Man"
Sunburnt Buffalo,5/8,2025-07-27,Rockhampton,7,407,14.5,M,6,6,$12.00,24,"1. Precursor
2. Let's Just Dance
3. Boonie's Baby"
Sunburnt Buffalo,3/6,2025-07-20,Rockhampton,49,407,5.25,M,7,3,$5.50,24.3,"1. Sunburnt Dawn
2. Emergency Man"
Sunburnt Buffalo,5/8,2025-06-01,Rockhampton,4,407,8.75,M,5,3,$22.00,23.9,"1. Ballinger Beach
2. Emergency Man
3. Scotch Rocket"
Sunburnt Buffalo,4/7,2025-05-28,Rockhampton,3,407,4.25,M,7,2,$34.00,24.2,"1. Strawberry Crush
2. Urgent Message
3. Wilma Flintstone"
Sunburnt Buffalo,2/6,2025-05-25,Rockhampton,14,407,3,M,8,1,$13.00,24.6,"1. Spot On Betty
3. Scotch Rocket"
Sunburnt Buffalo,6/7,2025-05-11,Rockhampton,21,407,6,M,4,2,$16.00,24.5,"1. Rosa's Shorty
2. Koolboo Brookie
3. Urgent Message"
Sunburnt Buffalo,7/7,2025-04-20,Rockhampton,7,407,19,M,4,5,$13.00,24.2,"1. Hacienda Dream
2. Urgent Message
3. Boulder Beach"
Sunburnt Buffalo,7/7,2025-04-13,Rockhampton,N/A,407,60,M,3,N/A,$13.00,24.2,"1. Any Reason
2. Fielder
3. Koolboo Kid"
Zabdon No Doubt,5/8,2025-08-24,Q Straight,4,300,6.25,M,5,5,$14.00,16.8,"1. Miss Pumpkin
2. Goldstar Carter
3. Lacey Joy"
Zabdon No Doubt,8/8,2025-08-20,Q1 Lakeside,5,352,9.75,M,3,"5,8",$9.00,20.1,"1. Champagne Fizz
2. Ripple Linger
3. Big Eddie"
