Greyhound,Plc,Date,Track,Days,Distance,Mgn,Class,Box,In Run,Price,Time,Placing
Akermanis,7/8,2025-08-06,Cannington,11,381,12.5,M,7,"6,7,7",$14.00,22,"1. City Of Love
2. Geordie Lad
3. Bolt Of Fun"
Akermanis,2/6,2025-07-26,Cannington,10,381,2,M,1,"3,3,3",$2.40,22.3,"1. Miss Makutz
3. Revolution Rico"
Akermanis,6/8,2025-07-16,Cannington,7,381,6,M,3,"5,5,5",$4.40,22.2,"1. Rippin' Pedro
2. Crenshaw King
3. Makutz"
Akermanis,2/8,2025-07-09,Cannington,7,381,2.25,M,3,"3,3,2",$4.00,22.3,"1. Lara Magic
3. Revolution Rico"
Akermanis,4/8,2025-07-02,Cannington,22,381,5.25,M,2,"8,6,6",$4.60,22.4,"1. Big Phantom
2. Lara Magic
3. Alison's Mission"
Akermanis,7/8,2025-06-10,Mandurah,7,400,12.25,MF,1,"5,6",$26.00,22.6,"1. Security Spot
2. Lolly Monelli
3. Gigabyte"
Akermanis,4/6,2025-06-03,Mandurah,6,400,4.75,M,8,"4,4",$8.50,22.9,"1. Lightning Byte
2. Lolly Monelli
3. Full Gloss Kwang"
Akermanis,6/7,2025-05-28,Cannington,7,381,7,M,6,"4,6,6",$7.00,21.9,"1. Speedy Cruella
2. Thank You Joe
3. Band For Band"
Akermanis,4/8,2025-05-21,Cannington,14,381,6.5,M,4,"5,4,4",$13.00,21.9,"1. Cynthia Keeping
2. Blue Bird Days
3. Full Gloss Kwang"
Akermanis,4/8,2025-05-07,Cannington,7,381,1.5,M,4,"6,6,4",$13.00,22.4,"1. Origin Blue
2. Speedy Cruella
3. Royal Waldorf"
Akermanis,4/7,2025-04-30,Cannington,6,381,5.25,M,3,"3,4,4",$5.50,22,"1. Harmony Rhythm
2. Rapido Pronto
3. Blue Bird Days"
Akermanis,3/8,2025-04-24,Cannington,15,381,5,M,3,"4,3,3",$5.00,22,"1. Dazzling Lizzie
2. Blue Bird Days"
Akermanis,7/7,2025-04-09,Cannington,14,381,29.75,M,3,"7,7,7",$4.00,21.8,"1. Ammunition
2. Sunset Bodacious
3. Shinboner Pixie"
Akermanis,4/8,2025-03-26,Cannington,N/A,381,3,M,8,"4,4,4",$20.00,22.2,"1. Speedy Deville
2. Tiana Banana
3. Speedy Cruella"
Phoebe Keeping,7/8,2025-08-20,Cannington,21,381,10,M,8,"5,5,5",$41.00,22.2,"1. Bark Lightyear
2. Milky Bar Kid
3. Pickling Pete"
Phoebe Keeping,6/8,2025-07-30,Cannington,21,381,11,M,5,"5,5,5",$71.00,22,"1. Space Zoomer
2. City Of Love
3. Crenshaw King"
Phoebe Keeping,4/8,2025-07-09,Cannington,N/A,381,8.75,M,7,"5,5,5",$12.00,22.3,"1. Lara Magic
2. Akermanis
3. Revolution Rico"
Alison's Mission,2/8,2025-08-20,Cannington,6,381,0.75,M,1,"2,2,2",$11.00,22.2,"1. Bolt Of Fun
3. Revolution Rico"
Alison's Mission,5/8,2025-08-14,Cannington,15,381,7.25,M,4,"7,7,5",$14.00,22.2,"1. Geordie Lad
2. Bolt Of Fun
3. Lady Freya"
Alison's Mission,5/8,2025-07-30,Cannington,14,381,9.25,M,8,"6,6,6",$26.00,22,"1. Space Zoomer
2. City Of Love
3. Crenshaw King"
Alison's Mission,4/8,2025-07-16,Cannington,11,381,4.75,M,7,"4,4,4",$16.00,22.2,"1. Rippin' Pedro
2. Crenshaw King
3. Makutz"
Alison's Mission,2/5,2025-07-05,Cannington,3,381,4.75,M,2,"2,3,2",$4.80,22.1,"1. Just Must
3. Makutz"
Alison's Mission,3/8,2025-07-02,Cannington,14,381,3.5,M,5,"4,4,4",$16.00,22.4,"1. Big Phantom
2. Lara Magic"
Alison's Mission,3/8,2025-06-18,Cannington,7,381,3.75,M,1,"4,5,3",$4.50,22.4,"1. Band For Band
2. Big Phantom"
Alison's Mission,4/8,2025-06-11,Cannington,7,381,9.75,M,5,"5,6,5",$17.00,22,"1. Thank You Joe
2. Band For Band
3. Royal Waldorf"
Alison's Mission,5/8,2025-06-04,Cannington,N/A,381,8.25,M,2,"6,5,5",$10.00,22,"1. Blue Bird Days
2. Band For Band
3. Thank You Joe"
Lift Me Up,7/8,2025-08-14,Cannington,N/A,381,10,M,3,"8,8,8",$4.60,22.2,"1. Geordie Lad
2. Bolt Of Fun
3. Lady Freya"
Erin Go Bragh,5/8,2025-08-20,Cannington,15,381,5.25,M,5,"3,3,4",$8.00,22.2,"1. Bolt Of Fun
2. Alison's Mission
3. Revolution Rico"
Erin Go Bragh,7/8,2025-08-05,Mandurah,7,400,7,MH,2,"2,2",$17.00,22.6,"1. Elite Deluxe
2. Crenshaw King
3. Szyslak"
Erin Go Bragh,6/7,2025-07-29,Mandurah,N/A,400,4.25,M,8,"3,3",$18.00,22.9,"1. Zatara's Image
2. Just A Madam
3. Warrior Zeus"
